Employee ID,Name,Department,Salary,Joining Date,Performance Rating
EMP0001,Frank Thomas,Sales,83839.0,2010-03-09,4.9
EMP0002,Hank White,IT,115125.0,2011-11-06,4.7
EMP0004,Ivy Green,HR,77283.0,2003-06-16,4.300000000000001
EMP0005,Frank Thomas,HR,67550.0,2012-09-04,4.8
EMP0008,Alice Brown,Marketing,102803.0,2013-06-07,4.2
EMP0009,Charlie Davis,Sales,74730.0,2008-07-29,2.6
EMP0010,John Doe,Finance,83839.0,2012-11-09,4.6
EMP0011,Jane Smith,Marketing,42524.0,2011-08-26,3.4
EMP0012,Frank Thomas,Sales,72429.0,2002-07-09,3.2
EMP0013,Hank White,Finance,83839.0,2010-01-11,4.1
EMP0014,Hank White,IT,88560.0,2004-09-28,2.8
EMP0015,Charlie Davis,Marketing,41014.0,2008-04-07,4.7
EMP0016,John Doe,IT,111952.0,2000-03-25,4.300000000000001
EMP0017,Ivy Green,IT,98276.0,2012-11-28,4.6
EMP0018,Bob Johnson,HR,94670.0,2005-04-05,3.4
EMP0020,Alice Brown,HR,83839.0,2008-04-09,4.4
